Pclass,Sex,Age,Fare,Embarked,Survived
3.0,male,22.0,7.25,S,0.0
1.0,female,38.0,71.2833,C,1.0
3.0,female,26.0,7.925,S,1.0
1.0,female,35.0,53.1,S,1.0
3.0,male,35.0,8.05,S,0.0
3.0,male,27.0,8.4583,Q,0.0
1.0,male,54.0,51.8625,S,0.0
3.0,male,2.0,21.075,S,0.0
3.0,female,27.0,11.1333,S,1.0
2.0,female,14.0,30.0708,C,1.0
3.0,female,4.0,16.7,S,1.0
1.0,female,58.0,26.55,S,1.0
3.0,male,20.0,8.05,S,0.0
3.0,male,39.0,31.275,S,0.0
3.0,female,14.0,7.8542,S,0.0
2.0,female,55.0,16.0,S,1.0
3.0,male,2.0,29.125,Q,0.0
2.0,male,23.0,13.0,S,1.0
3.0,female,31.0,18.0,S,0.0
3.0,female,22.0,7.225,C,1.0
2.0,male,35.0,26.0,S,0.0
2.0,male,34.0,13.0,S,1.0
3.0,female,15.0,8.0292,Q,1.0
1.0,male,28.0,35.5,S,1.0
3.0,female,8.0,21.075,S,0.0
3.0,female,38.0,31.3875,S,1.0
3.0,male,26.0,7.225,C,0.0
1.0,male,19.0,153.4625,S,0.0
3.0,female,24.0,7.8792,Q,1.0
3.0,male,23.0,7.8958,S,0.0
1.0,male,40.0,27.7208,C,0.0
1.0,female,48.0,146.5208,C,1.0
3.0,female,18.0,7.75,Q,1.0
2.0,male,62.0,10.5,S,0.0
1.0,male,28.0,82.1708,C,0.0
1.0,male,42.0,52.0,S,0.0
3.0,male,18.0,7.2292,C,1.0
3.0,male,21.0,8.05,S,0.0
3.0,female,18.0,18.0,S,0.0
3.0,female,14.0,11.2417,C,1.0
3.0,female,40.0,9.475,S,0.0
2.0,female,27.0,21.0,S,0.0
2.0,female,3.0,41.5792,C,1.0
3.0,female,19.0,7.8792,C,1.0
3.0,male,30.0,8.05,Q,0.0
3.0,male,20.0,15.5,S,0.0
3.0,female,27.0,7.75,Q,1.0
3.0,male,16.0,21.6792,Q,0.0
3.0,female,18.0,17.8,C,0.0
3.0,male,7.0,39.6875,S,0.0
3.0,male,21.0,7.8,S,0.0
1.0,female,49.0,76.7292,S,1.0
2.0,female,29.0,26.0,C,1.0
1.0,male,62.0,61.9792,S,0.0
1.0,male,46.0,35.5,C,1.0
2.0,female,21.0,10.5,S,1.0
3.0,male,28.5,7.2292,S,0.0
2.0,female,5.0,27.75,C,1.0
3.0,male,11.0,46.9,S,0.0
3.0,male,22.0,7.2292,S,0.0
1.0,female,38.0,80.0,C,1.0
1.0,male,45.0,83.475,,0.0
3.0,male,4.0,27.9,S,0.0
1.0,male,62.0,27.7208,S,0.0
3.0,male,7.0,15.2458,C,1.0
2.0,female,29.0,10.5,C,1.0
3.0,male,19.0,8.1583,S,0.0
3.0,female,17.0,7.925,S,1.0
3.0,male,26.0,8.6625,S,0.0
2.0,male,32.0,10.5,S,0.0
3.0,female,16.0,46.9,S,0.0
2.0,male,21.0,73.5,S,0.0
3.0,male,26.0,14.4542,S,0.0
3.0,male,32.0,56.4958,C,1.0
3.0,male,25.0,7.65,S,0.0
3.0,male,23.0,7.8958,S,0.0
3.0,male,28.0,8.05,S,0.0
2.0,male,2.0,29.0,S,1.0
3.0,female,30.0,12.475,S,1.0
3.0,male,22.0,9.0,S,0.0
3.0,male,29.0,9.5,S,1.0
3.0,female,31.0,7.7875,S,1.0
1.0,male,28.0,47.1,Q,0.0
2.0,female,17.0,10.5,S,1.0
3.0,female,33.0,15.85,S,1.0
3.0,male,16.0,34.375,S,0.0
3.0,male,20.0,8.05,S,0.0
1.0,female,23.0,153.4625,S,1.0
3.0,male,24.0,8.05,S,0.0
3.0,male,29.0,8.05,S,0.0
3.0,male,20.0,7.8542,S,0.0
1.0,male,46.0,61.175,S,0.0
3.0,male,26.0,20.575,S,0.0
3.0,male,59.0,7.25,S,0.0
3.0,male,22.0,8.05,S,0.0
1.0,male,62.0,34.6542,S,0.0
1.0,male,23.0,63.3583,C,1.0
2.0,female,34.0,23.0,C,1.0
2.0,male,34.0,26.0,S,0.0
3.0,female,28.0,7.8958,S,0.0
3.0,male,29.0,7.8958,S,0.0
1.0,male,21.0,77.2875,S,0.0
3.0,male,33.0,8.6542,S,0.0
3.0,male,37.0,7.925,S,0.0
3.0,male,28.0,7.8958,S,0.0
3.0,female,21.0,7.65,S,1.0
3.0,male,29.0,7.775,S,1.0
3.0,male,38.0,7.8958,S,0.0
3.0,female,28.0,24.15,S,1.0
1.0,male,47.0,52.0,Q,0.0
3.0,female,14.5,14.4542,S,0.0
3.0,male,22.0,8.05,C,0.0
3.0,female,20.0,9.825,S,0.0
3.0,female,17.0,14.4583,S,0.0
3.0,male,21.0,7.925,C,0.0
3.0,male,62.0,7.75,S,0.0
2.0,male,29.0,21.0,Q,0.0
1.0,male,24.0,153.4625,S,0.0
